; Trident; Tasman; Gecko; WebKit; KHTML; Presto; iCab
Mouse;Mouse;Mouse;Mouse;Mouse;Mouse;Mouse;Mouse
onclick;rowspan=""7"" Dunno;rowspan=""7"" Dunno;rowspan=""7"" Dunno;rowspan=""7"" Dunno;rowspan=""7"" Dunno;rowspan=""7"" Dunno;rowspan=""7"" Dunno
ondblclick;onmousedown;onmouseup;onmouseover;onmousemove;onmouseout;Keyboard;Keyboard
Keyboard;Keyboard;Keyboard;Keyboard;Keyboard;Keyboard;onkeypress;rowspan=""3"" Dunno
rowspan=""3"" Dunno;rowspan=""3"" Dunno;rowspan=""3"" Dunno;rowspan=""3"" Dunno;rowspan=""3"" Dunno;rowspan=""3"" Dunno;onkeydown;onkeyup
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
