;;; Trident; EdgeHTML; Gecko; WebKit; KHTML; Presto;;;
Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors;Element selectors
CSS2; ;Universal;[[#trident universal|7.0]];12;1.0;85;yes;rowspan=""5"" 1.0;E;Element;4.0
CSS2;12;1.0;85;yes;E.class;Class;[[#trident class|7.0]];12;1.0;85;yes
CSS2;E#id;ID;4.0;12;1.0;85;yes; ; ;Namespaced;9.0
CSS2;12;1.0;yes;yes;Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors
Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors;Relationship selectors;CSS2;E F;Descendant;4.0;12;1.0;85
yes;rowspan=""3"" 1.0;E  F;Child;7.0;12;1.0;85;yes;E + F;Direct adjacent;7.0
12;1.0;85;yes; ;E ~ F;Indirect adjacent;7.0;12;1.7;412;3.3.2
CSS2;2.0; ;E /for/ F;Reference combinators;no;no;no;no;no;no;E! > F
CSS2;Subject;no;no;no;no;no;no;F  E;Column relation;no;no
no;no;no;no;Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors
Attribute selectors;Attribute selectors;Attribute selectors;Attribute selectors;CSS2;E[attr];Has;[[#trident attr|7.0]];12;1.0;85;yes
 ;rowspan=""4"" 1.0;E[attr=""value""];Equals;7.0;12;1.0;yes;yes;E[attr~=""value""];Contains (space-separated);7.0
 ;12;1.0;yes;yes; ;Contains (hyphen-separated);7.0;12;1.0;yes;yes
 ;E[attr^=""value""];Begins with;7.0;12;1.0;yes;3.4;1.0;E[attr$=""value""];Ends with;7.0
12;1.0;yes;3.4;rowspan=""3"" 2.0;E[attr*=""value""];Contains substring;7.0;12;1.0;yes;3.4
CSS2; ;Namespaced;7.0;12;1.0;yes;3.4; ;E[foo=""bar"" i];Case-sensitivity;no
CSS2;no;no;no;no;no;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes
CSS2;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes;Pseudo-classes;CSS2;E:link;Unvisited hyperlink;3.0;12
1.0;85;yes;rowspan=""10"" 1.0;E:visited;Visited hyperlink;3.0;12;1.0;85;yes;E:active
