; Trident; Gecko; WebKit; KHTML; Presto
Basic structure;Basic structure;Basic structure;Basic structure;Basic structure;Basic structure
html;5.0;rowspan=""3"" yes;rowspan=""3"" yes;rowspan=""3"" yes;rowspan=""3"" 1.0
head;rowspan=""2"" 4.0;body;Metadata;Metadata;Metadata
Metadata;Metadata;Metadata;title;rowspan=""2"" 4.0;rowspan=""2"" 1.0
rowspan=""2"" yes;rowspan=""2"" yes;rowspan=""2"" 1.0;meta;Headings;Headings
Headings;Headings;Headings;Headings;h1;rowspan=""6"" 4.0
rowspan=""6"" 1.0;rowspan=""6"" yes;rowspan=""6"" yes;rowspan=""6"" 1.0;h2;h3
h4;h5;h6;Grouping elements;Grouping elements;Grouping elements
Grouping elements;Grouping elements;Grouping elements;div;rowspan=""2"" 4.0;rowspan=""2"" 1.0
rowspan=""2"" yes;rowspan=""2"" yes;rowspan=""2"" 1.0;span;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
