;; Trident; Tasman; Gecko; WebKit; KHTML; Presto
Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection;Interface HTMLCollection
DOM1;length;rowspan=""3"" 7.0;?;rowspan=""3"" 1.0;?;?;rowspan=""3"" 1.0
DOM1;item();?;?;?;namedItem();?;?
DOM1;?;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;Interface HTMLOptionsCollection
Interface HTMLOptionsCollection;Interface HTMLOptionsCollection;DOM2;length;?;?;rowspan=""3"" 1.0;?
?;rowspan=""3"" 2.0;item();?;?;?;?;namedItem()
DOM2;?;?;?;?;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument
DOM2;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;Interface HTMLDocument;DOM1;domain
rowspan=""5"" 4.0;rowspan=""15"" yes;rowspan=""16"" 1.0;rowspan=""16"" yes;?;rowspan=""16"" 1.0;URL;?
body;?;images;?;applets;?;title;rowspan=""10"" 3.0
DOM1;?;referrer;?;links;?;forms;?
DOM1;anchors;?;cookie;?;open();?;close()
DOM1;?;write();?;writeln();?;getElementsByName();yes
DOM1;?;?;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement
DOM1;Interface HTMLElement;Interface HTMLElement;Interface HTMLElement;DOM1;id;rowspan=""4"" 4.0;rowspan=""5"" yes
DOM1;rowspan=""5"" 1.0;?;?;rowspan=""5"" 1.0;title;?;?
DOM1;lang;?;?;className;?;?;dir
DOM1;5.0;?;?;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement
DOM1;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;Interface HTMLHtmlElement;DOM1;version;6.0
