;; Trident; Tasman; Gecko; WebKit; KHTML; Presto
Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException;Exception DOMException
DOM1;code;5.0;?;1.0;?;?;1.0
Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList;Interface DOMStringList
DOM3;length;rowspan=""3"" 6.0;rowspan=""3"" no;rowspan=""3"" 1.6;rowspan=""3"" no;?;rowspan=""3"" 2.0
DOM3;contains();?;item();?;Interface NameList;Interface NameList;Interface NameList
DOM3;Interface NameList;Interface NameList;Interface NameList;Interface NameList;Interface NameList;DOM3;length
rowspan=""5"" no;rowspan=""5"" no;rowspan=""5"" 1.6;rowspan=""5"" no;rowspan=""5"" no;rowspan=""5"" no;getName();getNamespaceURI()
contains();containsNS();Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList;Interface DOMImplementationList
DOM3;Interface DOMImplementationList;Interface DOMImplementationList;DOM3;length;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no
DOM3;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no;item();Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource
DOM3;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;Interface DOMImplementationSource;DOM3;getDOMImplementation()
DOM3;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no;rowspan=""2"" no;getDOMImplementationList()
Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation;Interface DOMImplementation
DOM1;hasFeature();6.0;?;rowspan=""3"" 1.0;rowspan=""3"" yes;?;1.0
DOM3;DOM2;createDocumentType();rowspan=""2"" 9.0;rowspan=""3"" no;?;rowspan=""2"" 1.0;createDocument()
