;; Trident; Tasman; Gecko; WebKit; KHTML; Presto
Interface StyleSheet;Interface StyleSheet;Interface StyleSheet;Interface StyleSheet;Interface StyleSheet;Interface StyleSheet;Interface StyleSheet;Interface StyleSheet
DOM2;type;rowspan=""2"" 6.0;?;rowspan=""7"" 1.0;rowspan=""7"" yes;?;rowspan=""7"" 2.0
DOM2;disabled;?;?;ownerNode;no;?;?
DOM2;parentStyleSheet;6.0;?;?;href;[[#trident StyleSheet href|8.0]];?
DOM2;?;title;6.0;?;?;media;[[#trident StyleSheet media|Incorrect]]
DOM2;?;?;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList
DOM2;Interface StyleSheetList;Interface StyleSheetList;Interface StyleSheetList;DOM2;length;rowspan=""2"" 6.0;?
DOM2;rowspan=""2"" 1.0;rowspan=""2"" yes;?;rowspan=""2"" 2.0;item();?;?
Interface MediaList;Interface MediaList;Interface MediaList;Interface MediaList;Interface MediaList;Interface MediaList;Interface MediaList;Interface MediaList
DOM2;mediaText;rowspan=""5"" no;?;rowspan=""5"" 1.0;rowspan=""5"" yes;?;rowspan=""5"" 2.0
DOM2;length;?;?;item();?;?;deleteMedium()
?;?;appendMedium();?;?;Interface LinkStyle;Interface LinkStyle;Interface LinkStyle
Interface LinkStyle;Interface LinkStyle;Interface LinkStyle;Interface LinkStyle;Interface LinkStyle;DOM2;sheet;no
DOM2;?;1.0;no;?;2.0;Interface DocumentStyle;Interface DocumentStyle
DOM2;Interface DocumentStyle;Interface DocumentStyle;Interface DocumentStyle;Interface DocumentStyle;Interface DocumentStyle;Interface DocumentStyle;DOM2
DOM2;styleSheets;no;?;1.0;no;?;2.0
DOM2;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
