;Trident;Gecko;WebKit;Presto
Attributes;Attributes;Attributes;Attributes;Attributes
autocomplete;3.1;Yes;Yes;rowspan=""3"" 2.0
list;6.0;2.0;yes;required
6.0;2.0;528Form validation disabled in Safari [http://caniuse.com/#search=form%20validation Can I use... Support tables for HTML5, CSS3, etc.];multiple;6.0
1.9.2For file inputs only.;526""multiple-file"";2.7;pattern;6.0
2.0;528validation-disabled-n;rowspan=""3"" 2.0;min, max;6.0
16.0;Yes;step;6.0;16.0
528;placeholder;6.0;2.0;Yes
2.7;form;no;2.0;Yes
rowspan=""3"" 2.0;autofocus;6.0;2.0;528
maxlength;6.0;2.0;528;novalidate
6.0;2.0;528;2.8;control
no;2.0;No;No;accept
no;2.0;Yes;Yes;formtarget
6.0;2.0;Yes;2.8;formaction
6.0;2.0;Yes;2.8;formmethod
6.0;2.0;Yes;2.8;formenctype
6.0;2.0;Yes;2.8;formnovalidate
6.0;2.0;528;2.8;disabled (fieldset element)
<3.1;2.0;No;2.7;Elements
Elements;Elements;Elements;Elements;datalist
6.0;2.0;Yes;2.0;keygen
No;1.0;125;1.0;output
No;2.0;Yes;2.0;progress
6.0;6.0;yes;rowspan=""2"" 2.7;meter
no;16.0;yes;Input types;Input types
Input types;Input types;Input types;search;6.0
2.0;312;rowspan=""2"" 2.7;tel;6.0
2.0;528;url;6.0;2.0
528;rowspan=""10"" 2.0;email;6.0;2.0
528;datetime;no;rowspan=""6"" No;No
date;no;rowspan=""5"" Yes;month;no
week;no;time;no;datetime-local
no;number;6.0;29.0;528
range;6.0;23.0;Yes;color
no;29.0;yes;2.7;
Trident;Gecko;WebKit;Presto;
;;;;
;;;;
;;;;
;;;;
;;;;
